length,height,whole_weight,sex_I,sex_M,age
0.455,0.3082207001484488,0.514,0,1,1
0.35,0.3,0.2255,0,1,1
0.53,0.3674234614174767,0.677,0,0,2
0.44,0.3535533905932738,0.516,0,1,1
0.33,0.282842712474619,0.205,1,0,1
0.425,0.3082207001484488,0.3515,1,0,1
0.53,0.3872983346207417,0.7775,0,0,2
0.545,0.3535533905932738,0.768,0,0,2
0.475,0.3535533905932738,0.5095,0,1,1
0.55,0.3872983346207417,0.8945,0,0,2
0.525,0.37416573867739417,0.6065,0,0,2
0.43,0.33166247903553997,0.406,0,1,1
0.49,0.3674234614174767,0.5415,0,1,1
0.535,0.3807886552931954,0.6845,0,0,2
0.47,0.31622776601683794,0.4755,0,0,1
0.5,0.36055512754639896,0.6645,0,1,2
0.355,0.29154759474226505,0.2905,1,0,1
0.44,0.31622776601683794,0.451,0,0,1
0.365,0.282842712474619,0.2555,0,1,1
0.45,0.31622776601683794,0.381,0,1,1
0.355,0.3082207001484488,0.2455,0,1,1
0.38,0.31622776601683794,0.2255,1,0,1
0.565,0.39370039370059057,0.9395,0,0,2
0.55,0.3674234614174767,0.7635,0,0,2
0.615,0.406201920231798,1.1615,0,0,3
0.56,0.37416573867739417,0.9285,0,0,2
0.58,0.4301162633521313,0.9955,0,0,2
0.59,0.37416573867739417,0.931,0,1,2
0.605,0.4242640687119285,0.9365,0,1,2
0.575,0.37416573867739417,0.8635,0,1,2
0.58,0.406201920231798,0.9975,0,1,2
0.68,0.406201920231798,1.639,0,0,3
0.665,0.406201920231798,1.338,0,1,3
0.68,0.4183300132670378,1.798,0,0,3
0.705,0.4472135954999579,1.7095,0,0,3
0.465,0.324037034920393,0.4795,0,1,1
0.54,0.39370039370059057,1.217,0,0,3
0.45,0.324037034920393,0.5225,0,0,1
0.575,0.3674234614174767,0.883,0,0,2
0.355,0.3,0.3275,0,1,1
0.45,0.324037034920393,0.425,0,0,1
0.55,0.3674234614174767,0.8515,0,0,2
0.24,0.21213203435596426,0.07,1,0,1
0.205,0.2345207879911715,0.042,1,0,1
0.21,0.22360679774997896,0.042,1,0,1
0.39,0.3082207001484488,0.203,1,0,1
0.47,0.34641016151377546,0.5795,0,1,1
0.46,0.34641016151377546,0.4605,0,0,1
0.325,0.2645751311064591,0.161,1,0,1
0.525,0.4,0.8355,0,0,2
0.52,0.34641016151377546,0.595,1,0,1
0.4,0.3082207001484488,0.303,0,1,1
0.485,0.36055512754639896,0.5415,0,1,1
0.47,0.34641016151377546,0.4775,0,0,1
0.405,0.31622776601683794,0.385,0,1,1
0.5,0.37416573867739417,0.6615,0,0,2
0.445,0.34641016151377546,0.4425,0,1,1
0.47,0.3674234614174767,0.5895,0,1,1
0.245,0.2449489742783178,0.086,1,0,1
0.505,0.3535533905932738,0.583,0,0,1
0.45,0.324037034920393,0.4115,0,1,1
0.505,0.33166247903553997,0.625,0,1,2
0.53,0.36055512754639896,0.6965,0,0,2
0.425,0.3082207001484488,0.3785,0,1,1
0.52,0.34641016151377546,0.58,0,1,1
0.475,0.34641016151377546,0.48,0,1,1
0.565,0.4,0.915,0,0,2
0.595,0.4301162633521313,1.285,0,0,3
0.475,0.34641016151377546,0.5305,0,0,1
0.31,0.2645751311064591,0.151,1,0,1
0.555,0.36055512754639896,0.7665,0,1,2
0.4,0.33166247903553997,0.353,0,0,1
0.595,0.41231056256176607,1.247,0,0,3
0.57,0.4183300132670378,1.185,0,1,3
0.605,0.44158804331639234,1.098,0,0,3
0.6,0.3872983346207417,1.0075,0,0,3
0.595,0.37416573867739417,0.944,0,1,2
0.6,0.3872983346207417,0.922,0,0,2
0.555,0.37416573867739417,0.788,0,0,2
0.615,0.41231056256176607,1.1025,0,0,3
0.575,0.37416573867739417,0.941,0,0,2
0.62,0.4183300132670378,1.615,0,1,3
0.52,0.406201920231798,0.9885,0,0,2
0.595,0.4,1.3175,0,1,3
0.58,0.37416573867739417,1.013,0,1,3
0.57,0.4242640687119285,1.295,0,0,3
0.625,0.37416573867739417,1.195,0,1,3
0.56,0.4,0.8645,0,1,2
0.46,0.36055512754639896,0.517,0,0,1
0.575,0.4,0.9775,0,0,2
0.565,0.3674234614174767,0.8115,0,1,2
0.555,0.3872983346207417,0.755,0,1,2
0.595,0.4183300132670378,1.115,0,1,3
0.625,0.406201920231798,1.262,0,0,3
0.695,0.43588989435406733,1.494,0,1,3
0.665,0.44158804331639234,1.606,0,1,3
0.535,0.3872983346207417,0.725,0,1,2
0.47,0.36055512754639896,0.523,0,1,1
0.47,0.36055512754639896,0.5225,0,1,1
0.475,0.3535533905932738,0.5785,0,0,1
0.36,0.3082207001484488,0.2315,1,0,1
0.55,0.3807886552931954,0.843,0,1,2
0.53,0.4,0.883,0,1,2
0.53,0.37416573867739417,0.724,0,1,2
0.605,0.4,1.1735,0,1,3
0.52,0.39370039370059057,0.727,0,0,2
0.545,0.406201920231798,0.802,0,0,2
0.5,0.3535533905932738,0.6675,0,0,2
0.51,0.3674234614174767,0.6335,0,0,2
0.435,0.324037034920393,0.3635,0,0,1
0.495,0.3535533905932738,0.5415,0,1,1
0.465,0.324037034920393,0.431,0,1,1
0.435,0.282842712474619,0.3325,1,0,1
0.425,0.324037034920393,0.393,0,1,1
0.545,0.3535533905932738,0.6935,0,0,2
0.53,0.3391164991562634,0.5915,0,0,1
0.49,0.3674234614174767,0.6125,0,0,2
0.44,0.324037034920393,0.402,0,1,1
0.56,0.3872983346207417,0.8825,0,0,2
0.405,0.29154759474226505,0.2605,0,1,1
0.47,0.324037034920393,0.4205,0,0,1
0.385,0.29154759474226505,0.2535,1,0,1
0.515,0.37416573867739417,0.766,0,0,2
0.37,0.27386127875258304,0.214,0,1,1
0.36,0.282842712474619,0.1755,1,0,1
0.27,0.2449489742783178,0.073,1,0,1
0.375,0.3,0.238,1,0,1
0.385,0.29154759474226505,0.2505,1,0,1
0.7,0.4,1.7255,0,1,3
0.71,0.406201920231798,1.959,0,1,3
0.595,0.406201920231798,1.262,0,1,3
0.44,0.3535533905932738,0.4035,0,0,1
0.325,0.3,0.1915,0,0,1
0.35,0.3082207001484488,0.211,1,0,1
0.265,0.25495097567963926,0.0975,1,0,1
0.425,0.3391164991562634,0.406,0,0,1
0.305,0.282842712474619,0.156,0,0,1
0.345,0.3,0.2005,0,1,1
0.405,0.33166247903553997,0.3555,0,0,1
0.375,0.3082207001484488,0.253,0,1,1
0.565,0.39370039370059057,0.826,0,0,2
0.55,0.3807886552931954,0.741,0,0,2
0.65,0.43588989435406733,1.3445,0,1,3
0.56,0.39370039370059057,0.797,0,1,2
0.475,0.36055512754639896,0.5175,0,1,1
0.49,0.3535533905932738,0.549,0,0,1
0.46,0.34641016151377546,0.515,0,1,1
0.28,0.282842712474619,0.127,1,0,1
0.175,0.2345207879911715,0.0315,1,0,1
0.17,0.3082207001484488,0.03,1,0,1
0.59,0.3807886552931954,1.053,0,1,3
0.605,0.4301162633521313,1.1185,0,0,3
0.635,0.43588989435406733,1.3715,0,0,3
0.605,0.4,1.0565,0,0,3
0.565,0.3674234614174767,0.9885,0,0,2
0.515,0.36055512754639896,0.722,0,1,2
0.575,0.43588989435406733,0.994,0,0,2
0.645,0.4636809247747852,1.514,0,1,3
0.58,0.41231056256176607,0.9075,0,0,2
0.575,0.406201920231798,1.124,0,0,3
0.605,0.406201920231798,1.056,0,1,3
0.605,0.4,1.222,0,0,3
0.61,0.4183300132670378,1.2445,0,1,3
0.725,0.458257569495584,2.141,0,0,3
0.65,0.47958315233127197,1.752,0,0,3
0.725,0.43588989435406733,2.55,0,1,3
0.725,0.4183300132670378,2.124,0,0,3
0.68,0.4527692569068708,1.842,0,0,3
0.705,0.469041575982343,1.981,0,1,3
0.68,0.4183300132670378,1.6185,0,0,3
0.695,0.4636809247747852,1.9565,0,1,3
0.53,0.3807886552931954,0.775,0,0,2
0.525,0.39370039370059057,1.065,0,1,3
0.52,0.3391164991562634,0.776,0,0,2
0.235,0.2,0.048,1,0,1
0.36,0.3,0.1785,1,0,1
0.315,0.2449489742783178,0.125,1,0,1
0.315,0.29154759474226505,0.1435,1,0,1
0.225,0.21213203435596426,0.0465,1,0,1
0.58,0.3872983346207417,0.97,0,1,2
0.57,0.4242640687119285,0.9395,0,1,2
0.64,0.4183300132670378,1.368,0,1,3
0.56,0.4,1.0235,0,0,3
0.62,0.4183300132670378,1.0165,0,0,3
0.645,0.4472135954999579,1.5675,0,0,3
0.62,0.43588989435406733,1.218,0,1,3
0.63,0.3872983346207417,1.0525,0,0,3
0.63,0.4301162633521313,1.383,0,0,3
0.63,0.4,1.199,0,0,3
0.585,0.41231056256176607,0.9325,0,0,2
0.615,0.4242640687119285,1.1595,0,1,3
0.61,0.41231056256176607,1.0225,0,1,3
0.58,0.3872983346207417,0.927,0,1,2
0.355,0.29154759474226505,0.22,1,0,1
0.51,0.37416573867739417,0.8145,0,0,2
0.5,0.39370039370059057,0.772,0,1,2
0.505,0.3872983346207417,0.644,0,0,2
0.64,0.4301162633521313,1.3035,0,1,3
0.56,0.4,0.922,0,1,2
0.585,0.4301162633521313,0.922,0,1,2
0.45,0.34641016151377546,0.4165,0,0,1
0.5,0.406201920231798,0.825,0,1,2
0.5,0.3807886552931954,0.63,0,0,2
0.53,0.41231056256176607,0.8155,0,0,2
0.42,0.3391164991562634,0.369,0,1,1
0.44,0.37416573867739417,0.482,0,0,1
0.4,0.33166247903553997,0.315,1,0,1
0.435,0.33166247903553997,0.3795,1,0,1
0.525,0.41231056256176607,0.8325,0,0,2
0.37,0.3082207001484488,0.2655,1,0,1
0.49,0.3807886552931954,0.6345,0,0,2
0.335,0.3,0.181,0,1,1
0.415,0.324037034920393,0.38,0,0,1
0.5,0.37416573867739417,0.6155,0,1,2
0.485,0.4,0.66,0,0,2
0.55,0.37416573867739417,0.8025,0,1,2
0.45,0.36055512754639896,0.46,0,1,1
0.405,0.34641016151377546,0.324,1,0,1
0.47,0.3674234614174767,0.501,0,1,1
0.415,0.36055512754639896,0.32,0,0,1
0.445,0.3535533905932738,0.455,0,0,1
0.47,0.3807886552931954,0.5175,0,0,1
0.49,0.3872983346207417,0.5755,0,0,1
0.445,0.3872983346207417,0.485,0,0,1
0.425,0.324037034920393,0.3265,1,0,1
0.5,0.3674234614174767,0.45,0,0,1
0.39,0.3535533905932738,0.3055,0,0,1
0.365,0.29154759474226505,0.205,1,0,1
0.58,0.406201920231798,1.1015,0,0,3
0.53,0.4,0.783,0,0,2
0.555,0.3674234614174767,0.836,0,1,2
0.565,0.4183300132670378,0.9025,0,1,2
